"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Psychology","Justice","Wales Office","MoJ","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","Scottish Government (excl agencies)","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","Scottish Housing Regulator","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Scottish Law Commission","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","Scottish Prison Service Headquarters","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Scottish Government","Scottish Public Pensions Agency","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Social Work Inspection Agency","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Student Awards Agency","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Transport Scotland","Scot Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Scottish Government","Education Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Welsh Assembly","ESTYN","Welsh Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Welsh Assembly","Welsh Government","Welsh Gov","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","ONS total","All employees","Total employment","Total Employment ONS total","Total Employment ONS total",2010,1000,"Specialist",""
"Psychology","Attorney General's departments","Attorney General's Office","AGO","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Attorney General's departments","Crown Prosecution Service","AGO","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Attorney General's departments","Crown Prosecution Service Inspectorate","AGO","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Attorney General's departments","National Fraud Authority [AGO]","AGO","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Attorney General's departments","Revenue and Customs Prosecution Office","AGO","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Attorney General's departments","Serious Fraud Office","AGO","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Attorney General's departments","Treasury Solicitor","AGO","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Advisory Conciliation and Arbitration Service","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Business, Enterprise and Regulatory Reform","BIS","Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","Business, Innovation and Skills","BIS","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Companies House","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","UK Space Agency","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Innovation, Universities and Skills","Department for Innovation, Universities and Skills","BIS","Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Export Credits Guarantee Department","Export Credit Guarantee Department","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Insolvency Service","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","National Measurement Office","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","National Weights and Measures Laboratory","BIS","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","Office of Fair Trading","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Office of Gas and Electricity Market","DECC","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Postal Services Commission","BIS","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","Skills Funding Agency","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","UK Intellectual Property Office","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","HM Land Registry","BIS","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","Met Office","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Ordnance Survey","BIS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Cabinet Office ","Buying Solutions","CO","Non-Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Cabinet Office ","Cabinet Office excl agencies","CO","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Ofsted","Ofsted","DfE","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Department for Education","National College","DfE","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","International Development ","Department for International Development","DfID","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Transport","Department for Transport","DfT","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Transport","Highways Agency","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Health","Food Standards Agency","DH","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2013,0,"Specialist",""
"Psychology","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Health","Public Health England","DH","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2013,0,"Specialist",""
"Psychology","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2013,NA,"Specialist",""
"Psychology","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2013,10,"Specialist",""
"Psychology","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2013,NA,"Specialist",""
"Psychology","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2013,0,"Specialist",""
